PROVINCIA,DEPARTAMENTO,AÑO,RENDIMIENTO - KG X HA
Buenos Aires,Ramallo,1993,1748.0
Buenos Aires,Rauch,1993,1899.0
Buenos Aires,Rivadavia,1993,2502.0
Buenos Aires,Rojas,1993,2000.0
Buenos Aires,Roque Pérez,1993,2000.0
Buenos Aires,Saavedra,1993,1900.0
Buenos Aires,Saladillo,1993,2000.0
Buenos Aires,Salliqueló,1993,2152.0
Buenos Aires,Salto,1993,1798.0
Buenos Aires,San Andrés de Giles,1993,1805.0
Buenos Aires,San Antonio de Areco,1993,1497.0
Buenos Aires,San Cayetano,1993,2297.0
Buenos Aires,San Nicolás,1993,1813.0
Buenos Aires,San Pedro,1993,1746.0
Buenos Aires,Suipacha,1993,2000.0
Buenos Aires,Tandil,1993,2600.0
Buenos Aires,Tapalqué,1993,2000.0
Buenos Aires,Tornquist,1993,1900.0
Buenos Aires,Trenque Lauquen,1993,2700.0
Buenos Aires,Tres Arroyos,1993,2697.0
Buenos Aires,Villarino,1993,1200.0
Buenos Aires,Zárate,1993,1643.0
Córdoba,Calamuchita,1993,1914.0
Córdoba,Capital,1993,1900.0
Córdoba,Colón,1993,1600.0
Córdoba,General Roca,1993,2050.0
Córdoba,General San Martín,1993,2300.0
Córdoba,Juárez Celman,1993,1900.0
Córdoba,Marcos Juárez,1993,2400.0
Córdoba,Presidente Roque Sáenz Peña,1993,2249.0
Córdoba,Río Cuarto,1993,1901.0
Córdoba,Río Primero,1993,1305.0
Córdoba,Río Segundo,1993,1800.0
Córdoba,San Justo,1993,1400.0
Córdoba,Santa María,1993,1103.0
Córdoba,Tercero Arriba,1993,1200.0
Córdoba,Totoral,1993,1400.0
Córdoba,Tulumba,1993,1333.0
Córdoba,Unión,1993,2100.0
Entre Ríos,Colón,1993,789.0
Entre Ríos,Concordia,1993,1667.0
Entre Ríos,Diamante,1993,1799.0
Entre Ríos,Federal,1993,1500.0
Entre Ríos,Gualeguay,1993,1902.0
Entre Ríos,Gualeguaychú,1993,1310.0
Entre Ríos,La Paz,1993,1596.0
Entre Ríos,Nogoyá,1993,1797.0
Entre Ríos,Paraná,1993,1801.0
Entre Ríos,Tala,1993,1206.0
Entre Ríos,Uruguay,1993,897.0
Entre Ríos,Victoria,1993,2200.0
Entre Ríos,Villaguay,1993,690.0
La Pampa,Atreucó,1993,1680.0
La Pampa,Caleu Caleu,1993,1000.0
La Pampa,Capital,1993,1700.0
La Pampa,Catriló,1993,1799.0
La Pampa,Chapaleufú,1993,2000.0
La Pampa,Conhelo,1993,1800.0
La Pampa,Guatraché,1993,1801.0
La Pampa,Hucal,1993,1100.0
La Pampa,Loventué,1993,1214.0
La Pampa,Maracó,1993,1902.0
La Pampa,Quemú Quemú,1993,1100.0
La Pampa,Rancul,1993,1800.0
La Pampa,Realicó,1993,1799.0
La Pampa,Toay,1993,1601.0
La Pampa,Trenel,1993,1899.0
La Pampa,Utracán,1993,1104.0
Santa Fe,9 de Julio,1993,1200.0
Santa Fe,Belgrano,1993,2100.0
Santa Fe,Caseros,1993,1800.0
Santa Fe,Castellanos,1993,1650.0
Santa Fe,General López,1993,2200.0
Santa Fe,General Obligado,1993,2100.0
Santa Fe,Iriondo,1993,2200.0
Santa Fe,La Capital,1993,1900.0
Santa Fe,Las Colonias,1993,1650.0
Santa Fe,Rosario,1993,2000.0
Santa Fe,San Cristóbal,1993,1600.0
Santa Fe,San Javier,1993,1750.0
Santa Fe,San Jerónimo,1993,2000.0
Santa Fe,San Justo,1993,1902.0
Santa Fe,San Lorenzo,1993,1949.0
Santa Fe,San Martín,1993,2100.0
Santa Fe,Vera,1993,2394.0
Santa Fe,Villa Constitución,1993,2000.0
Buenos Aires,25 de Mayo,1994,3100.0
Buenos Aires,9 de Julio,1994,3300.0
Buenos Aires,Adolfo Alsina,1994,1850.0
Buenos Aires,Adolfo Gonzales Chaves,1994,2940.0
Buenos Aires,Alberti,1994,3302.0
Buenos Aires,Arrecifes,1994,2647.0
Buenos Aires,Ayacucho,1994,2289.0
Buenos Aires,Azul,1994,2800.0
Buenos Aires,Bahía Blanca,1994,1400.0
Buenos Aires,Balcarce,1994,2814.0
Buenos Aires,Baradero,1994,3000.0
Buenos Aires,Benito Juárez,1994,2600.0
Buenos Aires,Bolívar,1994,2900.0
Buenos Aires,Bragado,1994,3301.0
Buenos Aires,Campana,1994,2500.0
Buenos Aires,Cañuelas,1994,3000.0
Buenos Aires,Capitán Sarmiento,1994,2586.0
Buenos Aires,Carlos Casares,1994,3100.0
Buenos Aires,Carlos Tejedor,1994,2602.0
Buenos Aires,Carmen de Areco,1994,2600.0
Buenos Aires,Chacabuco,1994,2700.0
Buenos Aires,Chascomús,1994,2900.0
Buenos Aires,Chivilcoy,1994,3301.0
Buenos Aires,Colón,1994,2900.0
Buenos Aires,Coronel de Marina Leonardo Rosales,1994,1300.0
Buenos Aires,Coronel Dorrego,1994,2226.0
Buenos Aires,Coronel Pringles,1994,2409.0
Buenos Aires,Coronel Suárez,1994,2200.0
